,index,description,dir_name,num_snps_found,num_coding_snps_found,num_overlapping_snps,num_overlapping_loci,num_original_list,num_original_coding_snps,p_value_threshold,percentage_loci_recovered,ld_based_clumping,r2_threshold,kb_radius,window_size
6139,6139,Bronchiectasis,phecode-496.3-both_sexes.tsv,5,3,1,6,6,1,3.71482470347462e-07,1.0,True,0.2,500,
6142,6142,Extrinsic allergic alveolitis,phecode-500.1-both_sexes.tsv,0,0,0,0,0,0,3.377333995814636e-07,1.0,True,0.2,500,
6143,6143,Pneumoconiosis,phecode-500.2-both_sexes.tsv,0,0,0,0,0,0,3.951870979007568e-07,1.0,True,0.2,500,
6152,6152,Respiratory failure,phecode-509.1-both_sexes.tsv,0,0,0,0,0,0,3.517936402581429e-07,1.0,True,0.2,500,
6153,6153,Respiratory insufficiency,phecode-509.2-both_sexes.tsv,1,0,0,0,0,0,4.2219929524679284e-07,1.0,True,0.2,500,
6154,6154,Respiratory arrest,phecode-509.5-both_sexes.tsv,0,0,0,0,0,0,4.2048688283827933e-07,1.0,True,0.2,500,
6158,6158,Wheezing,phecode-512.1-both_sexes.tsv,1,0,0,0,0,0,3.83885672629153e-07,1.0,True,0.2,500,
6159,6159,Painful respiration,phecode-512.2-both_sexes.tsv,0,0,0,0,0,0,3.593571022101476e-07,1.0,True,0.2,500,
6160,6160,Shortness of breath,phecode-512.7-both_sexes.tsv,0,0,0,0,0,0,3.102745572442417e-07,1.0,True,0.2,500,
6161,6161,Cough,phecode-512.8-both_sexes.tsv,1,0,0,0,0,0,4.392475675397082e-07,1.0,True,0.2,500,
6162,6162,Other dyspnea,phecode-512.9-both_sexes.tsv,1,0,0,0,0,0,3.699251791274425e-07,1.0,True,0.2,500,
6164,6164,Hypoventilation,phecode-513.3-both_sexes.tsv,0,0,0,0,0,0,3.714063231466897e-07,1.0,True,0.2,500,
6165,6165,Hyperventilation,phecode-513.4-both_sexes.tsv,0,0,0,0,0,0,3.466748732488149e-07,1.0,True,0.2,500,
6166,6166,Disorders of diaphragm,phecode-513.8-both_sexes.tsv,0,0,0,0,0,0,3.3584640039817986e-07,1.0,True,0.2,500,
6169,6169,Hemoptysis,phecode-516.1-both_sexes.tsv,1,1,0,1,1,0,4.37202300464431e-07,1.0,True,0.2,500,
6171,6171,Respiratory complications,phecode-519.2-both_sexes.tsv,0,0,0,0,0,0,3.665414287004882e-07,1.0,True,0.2,500,
6172,6172,"Other diseases of respiratory system, NEC",phecode-519.8-both_sexes.tsv,1,1,0,2,3,0,3.95181955411874e-07,0.6666666666666666,True,0.2,500,
6173,6173,Symptoms involving respiratory system and other chest symptoms,phecode-519.9-both_sexes.tsv,0,0,0,0,0,0,5.078520586680676e-07,1.0,True,0.2,500,
6175,6175,Disturbances in tooth eruption,phecode-520.2-both_sexes.tsv,0,0,0,0,0,0,4.874400622177958e-07,1.0,True,0.2,500,
6177,6177,Dental caries,phecode-521.1-both_sexes.tsv,0,0,0,0,0,0,3.811501907286481e-07,1.0,True,0.2,500,
6179,6179,Periapical abscess,phecode-522.5-both_sexes.tsv,0,0,0,0,1,0,3.118826207794215e-07,1.0,True,0.2,500,
6181,6181,Gingivitis,phecode-523.1-both_sexes.tsv,0,0,0,0,0,0,4.6145993858237363e-07,1.0,True,0.2,500,
6182,6182,Periodontitis (acute or chronic),phecode-523.3-both_sexes.tsv,0,0,0,0,0,0,6.317771957978033e-07,1.0,True,0.2,500,
6183,6183,Acute periodontitis,phecode-523.31-both_sexes.tsv,0,0,0,0,0,0,4.434225987056134e-07,1.0,True,0.2,500,
6184,6184,Chronic periodontitis,phecode-523.32-both_sexes.tsv,0,0,0,0,1,0,6.317771957978033e-07,1.0,True,0.2,500,
6186,6186,Anomalies of tooth position/malocclusion,phecode-524.3-both_sexes.tsv,0,0,0,0,0,0,3.803202140912656e-07,1.0,True,0.2,500,
6189,6189,Cysts of the jaws,phecode-526.1-both_sexes.tsv,1,1,1,1,1,1,4.87473698168272e-07,1.0,True,0.2,500,
6190,6190,Temporomandibular joint disorders,phecode-526.4-both_sexes.tsv,0,0,0,0,0,0,2.586437503715888e-07,1.0,True,0.2,500,
